time,f1,f2,f3,f4,f5,f6,metric
51,0.433883739,3.503241531,9.948536831,100,8.97411E-16,0.205483769,25.64543394
52,0.149042266,3.503321174,9.94752775,375,1.02807E-15,-0.090698481,15.43456919
53,-0.149042266,3.503401201,9.946518668,100,1.17471E-15,-0.378897417,10.69059794
54,-0.433883739,3.503481607,9.945509586,200,1.33893E-15,-0.633745658,15.47973547
55,-0.680172738,3.503562385,9.944500505,225,1.52244E-15,-0.832811365,8.365255311
56,-0.866025404,3.503643531,9.943491423,350,1.72709E-15,-0.958572698,8.401867085
57,-0.974927912,3.503725041,9.942482341,150,1.9549E-15,-0.999960097,8.630855343
58,-0.997203797,3.503806909,9.941473259,275,2.20798E-15,-0.953330628,18.57641123
59,-0.930873749,3.50388913,9.940464178,0,2.48865E-15,-0.822788634,21.74348302
60,-0.781831482,3.503971701,9.939455096,100,2.79936E-15,-0.619824471,19.6173364
61,-0.563320058,3.504054617,9.938446014,150,3.14274E-15,-0.362303122,13.1648637
62,-0.294755174,3.504137873,9.937436932,300,3.52161E-15,-0.072891714,22.83752568
63,-4.2878E-15,3.504221465,9.936427851,375,3.93898E-15,0.22293565,21.07566439
64,0.294755174,3.50430539,9.935418769,50,4.39805E-15,0.499140133,14.3138041
65,0.563320058,3.504389643,9.934409687,125,4.90223E-15,0.731410112,25.98646907
66,0.781831482,3.504474221,9.933400605,150,5.45516E-15,0.899301094,22.03400137
67,0.930873749,3.50455912,9.932391524,100,6.06071E-15,0.988035251,14.90786173
68,0.997203797,3.504644336,9.931382442,50,6.72299E-15,0.98980217,16.5749425
69,0.974927912,3.504729866,9.93037336,-100,7.44635E-15,0.904446324,25.02050938
70,0.866025404,3.504815707,9.929364279,300,8.23543E-15,0.739480769,20.74951063
71,0.680172738,3.504901855,9.928355197,325,9.09512E-15,0.509425834,25.28613741
72,0.433883739,3.504988306,9.927346115,-50,1.00306E-14,0.234531044,18.67167427
73,0.149042266,3.505075059,9.926337033,0,1.10474E-14,-0.061007258,23.46083084
74,-0.149042266,3.505162109,9.925327952,0,1.21513E-14,-0.351175678,12.21688066
75,-0.433883739,3.505249453,9.92431887,350,1.33484E-14,-0.610433481,19.00603901
76,-0.680172738,3.505337089,9.923309788,75,1.46452E-14,-0.815960697,19.39157942
77,-0.866025404,3.505425014,9.922300706,150,1.60485E-14,-0.949666741,12.42821153
78,-0.974927912,3.505513225,9.921291625,300,1.75656E-14,-0.999782757,15.6572199
79,-0.997203797,3.50560172,9.920282543,0,1.92039E-14,-0.961897514,19.60279567
80,-0.930873749,3.505690494,9.919273461,300,2.09715E-14,-0.839345686,10.76988711
81,-0.781831482,3.505779547,9.918264379,175,2.28768E-14,-0.642914331,12.64375993
82,-0.563320058,3.505868874,9.917255298,300,2.49285E-14,-0.389893411,10.19130648
83,-0.294755174,3.505958475,9.916246216,150,2.71361E-14,-0.102553925,20.36398749
84,-4.53283E-15,3.506048346,9.915237134,200,2.9509E-14,0.193812396,18.60214504
85,0.294755174,3.506138484,9.914228052,-25,3.20577E-14,0.473119277,20.34030339
86,0.563320058,3.506228889,9.913218971,75,3.47928E-14,0.710782019,13.01298681
87,0.781831482,3.506319556,9.912209889,75,3.77255E-14,0.885881457,14.06053737
88,0.930873749,3.506410484,9.911200807,275,4.08676E-14,0.983005271,15.43441582
89,0.997203797,3.506501671,9.910191726,-100,4.42313E-14,0.993604587,13.10151451
90,0.974927912,3.506593115,9.909182644,75,4.78297E-14,0.91674645,17.04709912
91,0.866025404,3.506684813,9.908173562,-75,5.16761E-14,0.75919594,12.27611795
92,0.680172738,3.506776763,9.90716448,300,5.57847E-14,0.534820715,18.31276213
93,0.433883739,3.506868963,9.906155399,200,6.01701E-14,0.263370367,24.19831624
94,0.149042266,3.506961412,9.905146317,-50,6.48478E-14,-0.031261942,13.9874899
95,-0.149042266,3.507054106,9.904137235,325,6.98337E-14,-0.323142562,11.24355665
96,-0.433883739,3.507147045,9.903128153,375,7.51447E-14,-0.586580051,21.03273179
97,-0.680172738,3.507240227,9.902119072,100,8.07983E-14,-0.79838654,12.91828884
98,-0.866025404,3.507333648,9.90110999,-100,8.68126E-14,-0.939918742,8.954937436
99,-0.974927912,3.507427309,9.900100908,150,9.32065E-14,-0.998718939,14.68396215
100,-0.997203797,3.507521206,9.899091826,-25,1E-13,-0.969611514,16.62955413
101,-0.930873749,3.507615338,9.898082745,125,1.07214E-13,-0.855158514,18.79666164
102,-0.781831482,3.507709704,9.897073663,225,1.14869E-13,-0.665434137,19.67055041
103,-0.563320058,3.507804301,9.896064581,200,1.22987E-13,-0.417137993,17.71811276
104,-0.294755174,3.507899128,9.895055499,125,1.31593E-13,-0.132125204,17.89080945
105,-4.77786E-15,3.507994184,9.894046418,-75,1.4071E-13,0.164517295,23.12898255
106,0.294755174,3.508089465,9.893037336,-25,1.50363E-13,0.44667892,10.86715633
107,0.563320058,3.508184972,9.892028254,350,1.60578E-13,0.689523696,14.03985506
108,0.781831482,3.508280703,9.891019173,325,1.71382E-13,0.871676333,18.08742081
109,0.930873749,3.508376655,9.890010091,0,1.82804E-13,0.977103688,26.96131434
110,0.997203797,3.508472827,9.889001009,100,1.94872E-13,0.996526004,12.62842797
111,0.974927912,3.508569219,9.887991927,25,2.07616E-13,0.928233722,12.57402744
112,0.866025404,3.508665827,9.886982846,75,2.21068E-13,0.778237954,23.80306099
113,0.680172738,3.508762652,9.885973764,0,2.35261E-13,0.559741385,22.3397198
114,0.433883739,3.508859691,9.884964682,300,2.50227E-13,0.291976166,20.22528842
115,0.149042266,3.508956943,9.8839556,250,2.66002E-13,-0.001488906,20.51447649
116,-0.149042266,3.509054406,9.882946519,275,2.82622E-13,-0.294822924,16.27055755
117,-0.433883739,3.50915208,9.881937437,25,3.00124E-13,-0.562206516,17.55974689
118,-0.680172738,3.509249963,9.880928355,0,3.18547E-13,-0.780104477,15.44531805
119,-0.866025404,3.509348054,9.879919273,75,3.37932E-13,-0.929337344,11.48198065
120,-0.974927912,3.50944635,9.878910192,25,3.58318E-13,-0.996769584,15.71101927
121,-0.997203797,3.509544852,9.87790111,225,3.7975E-13,-0.976465786,21.15662506
122,-0.930873749,3.509643558,9.876892028,200,4.02271E-13,-0.870213098,10.8237463
123,-0.781831482,3.509742466,9.875882947,-25,4.25928E-13,-0.687363922,8.197648691
124,-0.563320058,3.509841575,9.874873865,325,4.50767E-13,-0.444012711,17.24522458
125,-0.294755174,3.509940884,9.873864783,-75,4.76837E-13,-0.161579332,12.91793472
126,-8.57561E-15,3.510040392,9.872855701,150,5.0419E-13,0.135076321,19.65612118
127,0.294755174,3.510140098,9.87184662,350,5.32876E-13,0.419842505,22.39430823
128,0.563320058,3.51024,9.870837538,0,5.6295E-13,0.667653991,26.06702015
129,0.781831482,3.510340097,9.869828456,75,5.94467E-13,0.856698319,15.614599
130,0.930873749,3.510440389,9.868819374,100,6.27485E-13,0.970335735,17.48850554
131,0.997203797,3.510540874,9.867810293,225,6.62063E-13,0.99856383,26.15563211
132,0.974927912,3.51064155,9.866801211,25,6.98261E-13,0.938897956,27.10124443
133,0.866025404,3.510742418,9.865792129,-100,7.36142E-13,0.796589927,13.83029076
134,0.680172738,3.510843475,9.864783047,325,7.75771E-13,0.584165749,18.36696227
135,0.433883739,3.510944721,9.863773966,100,8.17215E-13,0.320323079,16.25254351
136,0.149042266,3.511046155,9.862764884,275,8.60543E-13,0.02828545,20.04174413
137,-0.149042266,3.511147775,9.861755802,175,9.05824E-13,-0.266241875,23.29783766
138,-0.433883739,3.511249581,9.86074672,250,9.53133E-13,-0.537334489,20.5870394
139,-0.680172738,3.511351572,9.859737639,-100,1.00254E-12,-0.761130717,15.97262287
140,-0.866025404,3.511453746,9.858728557,250,1.05414E-12,-0.917931929,8.009297728
141,-0.974927912,3.511556103,9.857719475,25,1.10798E-12,-0.993936423,14.73834853
142,-0.997203797,3.511658641,9.856710394,200,1.16418E-12,-0.982454255,17.18396643
143,-0.930873749,3.51176136,9.855701312,-125,1.22279E-12,-0.884496089,9.851099708
144,-0.781831482,3.511864259,9.85469223,275,1.28392E-12,-0.70868424,12.72501407
145,-0.563320058,3.511967336,9.853683148,-50,1.34765E-12,-0.470493735,10.27260186
146,-0.294755174,3.512070592,9.852674067,75,1.41407E-12,-0.190890192,15.94532384
147,-8.82064E-15,3.512174024,9.851664985,175,1.48327E-12,0.105515578,13.68352207
148,0.294755174,3.512277633,9.850655903,375,1.55536E-12,0.392633827,12.42172083
149,0.563320058,3.512381416,9.849646821,175,1.63044E-12,0.645192297,17.09444439
150,0.781831482,3.512485374,9.84863774,50,1.70859E-12,0.840960696,23.64203483
151,0.930873749,3.512589506,9.847628658,300,1.78994E-12,0.962707413,20.51595289
152,0.997203797,3.51269381,9.846619576,150,1.87458E-12,0.999716258,16.68309092
153,0.974927912,3.512798285,9.845610494,200,1.96264E-12,0.948729696,21.12871464
154,0.866025404,3.512902932,9.844601413,375,2.05421E-12,0.814235586,15.3577723
155,0.680172738,3.513007748,9.843592331,75,2.14942E-12,0.608072149,21.89445509
156,0.433883739,3.513112734,9.842583249,150,2.24839E-12,0.34838597,19.28004755
157,0.149042266,3.513217888,9.841574168,350,2.35124E-12,0.058034726,16.56925933
158,-0.149042266,3.513323209,9.840565086,75,2.4581E-12,-0.237424758,17.82536396
159,-0.433883739,3.513428698,9.839556004,50,2.56909E-12,-0.511986023,21.61457675
160,-0.680172738,3.513534352,9.838546922,-75,2.68435E-12,-0.741482084,14.00017121
161,-0.866025404,3.513640172,9.837537841,0,2.80402E-12,-0.90571261,18.53685701
162,-0.974927912,3.513746156,9.836528759,0,2.92823E-12,-0.990221967,9.265918687
163,-0.997203797,3.513852304,9.835519677,325,3.05713E-12,-0.987571609,16.71154742
164,-0.930873749,3.513958614,9.834510595,100,3.19085E-12,-0.897994822,21.37869147
165,-0.781831482,3.514065087,9.833501514,-25,3.32957E-12,-0.729376189,16.25261656
166,-0.563320058,3.514171721,9.832492432,-25,3.47341E-12,-0.496557586,14.80021502
167,-0.294755174,3.514278516,9.83148335,50,3.62256E-12,-0.220031795,14.47294761
168,-9.06566E-15,3.514385471,9.830474268,-75,3.77716E-12,0.075861278,16.71115641
169,0.294755174,3.514492586,9.829465187,350,3.93738E-12,0.365077013,14.44936569
170,0.563320058,3.514599858,9.828456105,375,4.10339E-12,0.62215853,18.12209972
171,0.781831482,3.514707289,9.827447023,350,4.27536E-12,0.824477416,19.16970057
172,0.930873749,3.514814877,9.826437941,225,4.45348E-12,0.954225486,22.543629
173,0.997203797,3.514922621,9.82542886,275,4.63791E-12,0.999982265,13.71077736
174,0.974927912,3.515030522,9.824419778,-100,4.82886E-12,0.957720225,26.65641135
175,0.866025404,3.515138577,9.823410696,0,5.02651E-12,0.831159286,26.38547924
176,0.680172738,3.515246787,9.822401615,250,5.23105E-12,0.63143939,16.92217221
177,0.433883739,3.515355151,9.821392533,225,5.44268E-12,0.376139958,11.8077748
178,0.149042266,3.515463667,9.820383451,175,5.66161E-12,0.087732544,20.59699667
179,-0.149042266,3.515572337,9.819374369,375,5.88805E-12,-0.208397122,22.35311134
180,-0.433883739,3.515681158,9.818365288,75,6.1222E-12,-0.486183594,15.64233413
181,-0.680172738,3.51579013,9.817356206,200,6.36429E-12,-0.721176001,11.52793855
182,-0.866025404,3.515899253,9.816347124,0,6.61454E-12,-0.892690221,15.56463425
183,-0.974927912,3.516008526,9.815338042,200,6.87318E-12,-0.985629509,20.2937058
184,-0.997203797,3.516117949,9.814328961,275,7.14044E-12,-0.991813311,17.73934435
185,-0.930873749,3.51622752,9.813319879,175,7.41655E-12,-0.910697329,16.90649819
186,-0.781831482,3.516337239,9.812310797,225,7.70177E-12,-0.74942142,22.78043301
187,-0.563320058,3.516447106,9.811301715,-50,7.99634E-12,-0.522181153,14.32804117
188,-0.294755174,3.51655712,9.810292634,225,8.30051E-12,-0.248978302,15.00078343
189,-9.31069E-15,3.516667281,9.809283552,325,8.61455E-12,0.046139714,23.23900184
190,0.294755174,3.516777587,9.80827447,25,8.93872E-12,0.337196495,15.4772207
191,0.563320058,3.516888038,9.807265388,125,9.27328E-12,0.598573112,24.64996426
192,0.781831482,3.516998634,9.806256307,-25,9.61853E-12,0.807263096,12.69757461
193,0.930873749,3.517109374,9.805247225,-25,9.97473E-12,0.944897474,26.57151249
194,0.997203797,3.517220258,9.804238143,100,1.03422E-11,0.999361617,13.23867027
195,0.974927912,3.517331285,9.803229062,350,1.07212E-11,0.96586157,13.68431363
196,0.866025404,3.517442454,9.80221998,75,1.1112E-11,0.84734602,12.41339087
197,0.680172738,3.517553765,9.801210898,125,1.1515E-11,0.654246751,24.45009314
198,0.433883739,3.517665217,9.800201816,300,1.19304E-11,0.403560433,16.835705
199,0.149042266,3.51777681,9.799192735,300,1.23587E-11,0.117352572,19.6249361
200,-0.149042266,3.517888544,9.798183653,-25,1.28E-11,-0.179184707,23.38105997
201,-0.433883739,3.518000417,9.797174571,225,1.32548E-11,-0.459950079,16.6702919
202,-0.680172738,3.518112429,9.796165489,25,1.37233E-11,-0.700230471,15.05590544
203,-0.866025404,3.518224581,9.795156408,250,1.4206E-11,-0.87887631,9.592610232
204,-0.974927912,3.51833687,9.794147326,375,1.47032E-11,-0.980163121,13.82169083
205,-0.997203797,3.518449297,9.793138244,375,1.52152E-11,-0.995175601,11.7673384
206,-0.930873749,3.518561861,9.792129162,75,1.57424E-11,-0.922592346,21.93450121
207,-0.781831482,3.518674562,9.791120081,275,1.62852E-11,-0.768802161,20.30844498
208,-0.563320058,3.518787399,9.790110999,50,1.68439E-11,-0.547341717,13.85606205
209,-0.294755174,3.518900372,9.789101917,75,1.7419E-11,-0.277704047,20.02881318
210,-9.55572E-15,3.51901348,9.788092836,0,1.80109E-11,0.016377239,18.26704044
211,0.294755174,3.519126723,9.787083754,175,1.86199E-11,0.309016994,13.5052681
212,0.563320058,3.5192401,9.786074672,75,1.92465E-11,0.574456956,21.17802044
213,0.781831482,3.519353611,9.78506559,75,1.9891E-11,0.789332998,26.72563954
214,0.930873749,3.519467255,9.784056509,0,2.0554E-11,0.934731649,20.09958614
215,0.997203797,3.519581032,9.783047427,200,2.12358E-11,0.997854864,24.76675259
216,0.974927912,3.519694941,9.782038345,25,2.1937E-11,0.973146514,20.7124046
217,0.866025404,3.519808982,9.781029263,150,2.26578E-11,0.862781437,25.94149046
218,0.680172738,3.519923155,9.780020182,375,2.33989E-11,0.67647401,14.47820131
219,0.433883739,3.520037459,9.7790111,100,2.41607E-11,0.430623082,11.86382172
220,0.149042266,3.520151893,9.778002018,150,2.49436E-11,0.146868547,13.15306134
221,-0.149042266,3.520266457,9.776992936,175,2.57481E-11,-0.149813413,9.909193706
222,-0.433883739,3.520381151,9.775983855,225,2.65748E-11,-0.43330874,9.198434106
223,-0.680172738,3.520495975,9.774974773,100,2.74242E-11,-0.678664067,11.08405608
224,-0.866025404,3.520610927,9.773965691,-125,2.82967E-11,-0.864283123,20.62076927
225,-0.974927912,3.520726007,9.772956609,-25,2.91929E-11,-0.973827651,21.34985824
226,-0.997203797,3.520841215,9.771947528,150,3.01134E-11,-0.997655497,22.29551415
227,-0.930873749,3.520956551,9.770938446,375,3.10585E-11,-0.933669327,14.96268528
228,-0.781831482,3.521072014,9.769929364,-100,3.2029E-11,-0.787501227,12.83663734
229,-0.563320058,3.521187604,9.768920283,250,3.30254E-11,-0.572016969,11.88426267
230,-0.294755174,3.52130332,9.767911201,-50,3.40483E-11,-0.30618356,10.55702202
231,-9.80075E-15,3.521419162,9.766902119,125,3.50981E-11,-0.013399757,23.29525749
232,0.294755174,3.521535129,9.765893037,275,3.61756E-11,0.280563497,21.03349332
233,0.563320058,3.521651221,9.764883956,275,3.72813E-11,0.549831446,24.70625381
234,0.781831482,3.521767438,9.763874874,300,3.84159E-11,0.770703022,23.75388102
235,0.930873749,3.521883779,9.762865792,100,3.95799E-11,0.923737024,26.62783571
236,0.997203797,3.522000244,9.76185671,200,4.07741E-11,0.995463341,15.79501023
237,0.974927912,3.522116832,9.760847629,300,4.19989E-11,0.979568596,22.24067028
238,0.866025404,3.522233544,9.759838547,225,4.32552E-11,0.87745185,18.96976414
239,0.680172738,3.522350378,9.758829465,250,4.45436E-11,0.698101458,15.00648298
240,0.433883739,3.522467334,9.757820383,125,4.58647E-11,0.45730391,24.89211135
241,0.149042266,3.522584413,9.756811302,50,4.72193E-11,0.176254298,20.6813589
242,-0.149042266,3.522701612,9.75580222,250,4.8608E-11,-0.120309285,9.937499171
243,-0.433883739,3.522818933,9.754793138,0,5.00315E-11,-0.406283198,17.22674745
244,-0.680172738,3.522936375,9.753784057,-25,5.14907E-11,-0.65649591,12.11237728
245,-0.866025404,3.523053937,9.752774975,325,5.29862E-11,-0.848923602,15.6490983
246,-0.974927912,3.523171619,9.751765893,-50,5.45187E-11,-0.966628715,15.37819508
247,-0.997203797,3.523289421,9.750756811,275,5.60891E-11,-0.999250801,19.82385877
248,-0.930873749,3.523407342,9.74974773,-50,5.76981E-11,-0.94391845,14.49103765
249,-0.781831482,3.523525382,9.748738648,200,5.93465E-11,-0.805502038,22.36499744
250,-0.563320058,3.52364354,9.747729566,-125,6.10352E-11,-0.59618503,23.41263048
251,-0.294755174,3.523761817,9.746720484,-100,6.27648E-11,-0.334391589,22.08539751
252,-1.71512E-14,3.523880212,9.745711403,50,6.45363E-11,-0.043164872,16.32364063
253,0.294755174,3.523998724,9.744702321,-25,6.63504E-11,0.251861233,16.56188411
254,0.563320058,3.524117353,9.743693239,-25,6.82081E-11,0.524718416,19.2346522
255,0.781831482,3.524236099,9.742684157,0,7.01102E-11,0.751389685,23.282287
256,0.930873749,3.524354962,9.741675076,275,7.20576E-11,0.911923347,21.65624926
257,0.997203797,3.52447394,9.740665994,300,7.40512E-11,0.992189169,14.82343131
258,0.974927912,3.524593035,9.739656912,375,7.60918E-11,0.985122123,17.76909889
259,0.866025404,3.524712245,9.73864783,-125,7.81805E-11,0.891344252,19.49820024
260,0.680172738,3.52483157,9.737638749,225,8.03181E-11,0.719109921,15.03492655
261,0.433883739,3.52495101,9.736629667,100,8.25056E-11,0.48357926,18.92056238
262,0.149042266,3.525070564,9.735620585,325,8.4744E-11,0.205483769,18.20981736
263,-0.149042266,3.525190233,9.734611504,175,8.70343E-11,-0.090698481,22.46596503
264,-0.433883739,3.525310015,9.733602422,25,8.93774E-11,-0.378897417,10.7552207
265,-0.680172738,3.525429911,9.73259334,300,9.17743E-11,-0.633745658,13.14085789
266,-0.866025404,3.52554992,9.731584258,350,9.42262E-11,-0.832811365,11.67758625
267,-0.974927912,3.525670042,9.730575177,-50,9.67339E-11,-0.958572698,9.406690344
268,-0.997203797,3.525790276,9.729566095,250,9.92987E-11,-0.999960097,15.35236133
269,-0.930873749,3.525910622,9.728557013,-125,1.01922E-10,-0.953330628,9.519547495
270,-0.781831482,3.526031081,9.727547931,100,1.04604E-10,-0.822788634,17.89351454
271,-0.563320058,3.526151651,9.72653885,75,1.07346E-10,-0.619824471,10.94115481
272,-0.294755174,3.526272332,9.725529768,350,1.10149E-10,-0.362303122,11.61392906
273,-1.02908E-14,3.526393124,9.724520686,300,1.13016E-10,-0.072891714,20.85217937
274,0.294755174,3.526514027,9.723511604,200,1.15946E-10,0.22293565,17.59043002
275,0.563320058,3.526635041,9.722502523,200,1.1894E-10,0.499140133,18.26320527
276,0.781831482,3.526756164,9.721493441,200,1.22001E-10,0.731410112,23.3108472
277,0.930873749,3.526877397,9.720484359,-50,1.25129E-10,0.899301094,17.18481656
278,0.997203797,3.52699874,9.719475277,325,1.28326E-10,0.988035251,14.85200571
279,0.974927912,3.527120191,9.718466196,-75,1.31592E-10,0.98980217,13.79768035
280,0.866025404,3.527241752,9.717457114,125,1.34929E-10,0.904446324,22.02678877
281,0.680172738,3.527363421,9.716448032,-75,1.38339E-10,0.739480769,21.06352211
282,0.433883739,3.527485199,9.715438951,-100,1.41822E-10,0.509425834,19.94916494
283,0.149042266,3.527607084,9.714429869,-75,1.4538E-10,0.234531044,14.23842692
284,-0.149042266,3.527729077,9.713420787,275,1.49014E-10,-0.061007258,11.99458157
285,-0.433883739,3.527851178,9.712411705,0,1.52726E-10,-0.351175678,17.28384419
286,-0.680172738,3.527973386,9.711402624,150,1.56517E-10,-0.610433481,21.66948831
287,-0.866025404,3.528095701,9.710393542,150,1.60389E-10,-0.815960697,22.20622359
288,-0.974927912,3.528218122,9.70938446,-50,1.64342E-10,-0.949666741,10.93533459
289,-0.997203797,3.528340649,9.708375378,325,1.68378E-10,-0.999782757,18.38101246
290,-0.930873749,3.528463283,9.707366297,25,1.72499E-10,-0.961897514,8.548205478
291,-0.781831482,3.528586022,9.706357215,100,1.76706E-10,-0.839345686,14.92217936
292,-0.563320058,3.528708867,9.705348133,-75,1.81001E-10,-0.642914331,19.96982646
293,-0.294755174,3.528831817,9.704339051,100,1.85384E-10,-0.389893411,13.14260752
294,-1.76413E-14,3.528954873,9.70332997,-125,1.89859E-10,-0.102553925,23.88086462
295,0.294755174,3.529078032,9.702320888,75,1.94426E-10,0.193812396,17.11912203
296,0.563320058,3.529201296,9.701311806,200,1.99087E-10,0.473119277,19.29190403
297,0.781831482,3.529324665,9.700302725,-100,2.03843E-10,0.710782019,23.3395527
298,0.930873749,3.529448137,9.699293643,325,2.08696E-10,0.885881457,18.71352878
299,0.997203797,3.529571713,9.698284561,250,2.13648E-10,0.983005271,21.38072463
300,0.974927912,3.529695392,9.697275479,300,2.187E-10,0.993604587,25.32640596
301,0.866025404,3.529819174,9.696266398,75,2.23854E-10,0.91674645,22.05552103
302,0.680172738,3.529943059,9.695257316,250,2.29112E-10,0.75919594,25.09226102
303,0.433883739,3.530067047,9.694248234,325,2.34476E-10,0.534820715,20.47791049
304,0.149042266,3.530191137,9.693239152,200,2.39947E-10,0.263370367,25.26717908
305,-0.149042266,3.53031533,9.692230071,-25,2.45527E-10,-0.031261942,16.02334032
306,-0.433883739,3.530439624,9.691220989,350,2.51218E-10,-0.323142562,17.81260952
307,-0.680172738,3.530564019,9.690211907,150,2.57021E-10,-0.586580051,23.19826021
308,-0.866025404,3.530688516,9.689202825,125,2.62939E-10,-0.79838654,8.235002039
309,-0.974927912,3.530813114,9.688193744,75,2.68973E-10,-0.939918742,9.964119562
310,-0.997203797,3.530937813,9.687184662,100,2.75126E-10,-0.998718939,8.909803946
311,-0.930873749,3.531062613,9.68617558,-125,2.81399E-10,-0.969611514,22.57700347
312,-0.781831482,3.531187513,9.685166498,225,2.87794E-10,-0.855158514,19.45098383
313,-0.563320058,3.531312512,9.684157417,275,2.94314E-10,-0.665434137,15.49863739
314,-0.294755174,3.531437612,9.683148335,-100,3.00959E-10,-0.417137993,18.6714249
315,-1.07809E-14,3.531562812,9.682139253,100,3.07733E-10,-0.132125204,15.90968844
316,0.294755174,3.531688111,9.681130172,25,3.14637E-10,0.164517295,18.14795227
317,0.563320058,3.531813509,9.68012109,75,3.21673E-10,0.44667892,20.32074067
318,0.781831482,3.531939006,9.679112008,200,3.28844E-10,0.689523696,13.86839572
319,0.930873749,3.532064602,9.678102926,25,3.36151E-10,0.871676333,23.74237818
320,0.997203797,3.532190296,9.677093845,350,3.43597E-10,0.977103688,12.90958038
321,0.974927912,3.532316088,9.676084763,175,3.51184E-10,0.996526004,26.35526805
322,0.866025404,3.532441979,9.675075681,-50,3.58915E-10,0.928233722,24.58438945
